word,count,frequency_rank,train_count,standard_frequency_rank
欧洲,4,1008,4,790
正好,4,1009,4,791
正常,4,1010,0,
正忙着,4,1011,4,792
死刑,4,1012,4,794
每,4,1013,2,1655
每分钟,4,1014,0,
毒液,4,1015,4,795
毛虫,4,1016,2,1658
没关系,4,1017,0,
没好气,4,1018,2,1669
没完,4,1019,4,796
没错,4,1020,4,797
泉水,4,1021,4,798
洞,4,1022,2,1677
活,4,1023,2,1678
海鸟,4,1024,4,800
消化,4,1025,4,801
消失,4,1026,2,1686
消逝,4,1027,4,802
渐渐,4,1028,4,803
渴,4,1029,4,804
渴得,4,1030,2,1697
满天星,4,1031,4,806
漂亮,4,1032,4,807
火,4,1033,4,808
点着,4,1034,4,809
照样,4,1035,2,1717
片,4,1036,0,
物证,4,1037,4,811
独自,4,1038,2,1723
猎人,4,1039,4,813
猛地,4,1040,2,1728
猜,4,1041,2,1729
现成,4,1042,2,1732
玻璃罩,4,1043,0,
生命,4,1044,2,1735
生气,4,1045,4,815
生涯,4,1046,2,1736
用不着,4,1047,2,1738
甭想,4,1048,2,1740
画家,4,1049,2,1745
画画,4,1050,0,
直到,4,1051,0,
省,4,1052,4,818
看得见,4,1053,4,819
真实,4,1054,4,821
瞥,4,1055,2,1783
瞧见,4,1056,0,
碰到,4,1057,2,1789
碰巧,4,1058,0,
磨磨蹭蹭,4,1059,2,1790
礼貌,4,1060,4,824
稍远,4,1061,4,828
穿,4,1062,4,829
第一次,4,1063,2,1820
第二天,4,1064,4,830
简直,4,1065,2,1836
算,4,1066,4,832
算术,4,1067,2,1839
算账,4,1068,4,833
精心,4,1069,4,835
紧,4,1070,2,1843
累人,4,1071,0,
红脸,4,1072,4,836
纳闷,4,1073,2,1851
纸片,4,1074,4,837
细,4,1075,4,838
经常,4,1076,4,839
经过,4,1077,4,840
维持,4,1078,2,1856
绽出,4,1079,4,842
绽放,4,1080,4,843
罕见,4,1081,4,845
美妙,4,1082,4,847
美的,4,1083,2,1867
耐心,4,1084,2,1874
职业,4,1085,4,849
联系,4,1086,4,850
肖像,4,1087,0,
肚子,4,1088,2,1878
肩膀,4,1089,4,851
胡思乱想,4,1090,4,852
脖子,4,1091,4,853
脚踝,4,1092,4,854
脱,4,1093,4,855
脸红,4,1094,2,1889
脸色,4,1095,4,856
色泽,4,1096,0,
花园里,4,1097,2,1905
花蕾,4,1098,4,857
花费,4,1099,4,858
芳香,4,1100,4,859
草地,4,1101,4,861
藏,4,1102,4,863
蘑菇,4,1103,4,864
蜂蜜,4,1104,0,
要求,4,1105,4,865
角,4,1106,0,
解开,4,1107,4,866
认为,4,1108,4,867
记下来,4,1109,4,868
记得,4,1110,4,869
证据,4,1111,4,870
试一下,4,1112,4,871
语法,4,1113,2,1960
